ortho	phon	lemme	cgram	cgramortho	genre	nombre	infover	syll_cv	orthosyll_cv	freqlivres	freqfilms2	source
personnalisassent	pERsonalizas	personnaliser	VER	VER			sub:imp:3p;	p_E_R|s_o|n_a|l_i|z_a_s_#	p_e_r|s_o|nn_a|l_i|s_a_ss_ent	0.0	0.0	synthetic
figurâtes	figyRat	figurer	VER	VER			ind:pas:2p;	f_i|g_y|R_a_t_#	f_i|g_u|r_â_t_es	0.0	0.0	synthetic
figure	figyR	figurer	VER	VER			sub:pre:1s;	f_i|g_y|R_#	f_i|g_u|r_e	0.0	0.0	synthetic
figure	figyR	figurer	VER	VER			sub:pre:3s;	f_i|g_y|R_#	f_i|g_u|r_e	0.0	0.0	synthetic
figurasse	figyRas	figurer	VER	VER			sub:imp:1s;	f_i|g_y|R_a_s_#	f_i|g_u|r_a_ss_e	0.0	0.0	synthetic
figurasses	figyRas	figurer	VER	VER			sub:imp:2s;	f_i|g_y|R_a_s_#	f_i|g_u|r_a_ss_es	0.0	0.0	synthetic
figurassions	figyRasj§	figurer	VER	VER			sub:imp:1p;	f_i|g_y|R_a|s_j_§	f_i|g_u|r_a|ss_i_ons	0.0	0.0	synthetic
figurassent	figyRas	figurer	VER	VER			sub:imp:3p;	f_i|g_y|R_a_s_#	f_i|g_u|r_a_ss_ent	0.0	0.0	synthetic
défrisés	defRize	défriser	VER	VER	m	p	par:pas;	d_e|f_R_i|z_e	d_é|f_r_i|s_é_s	0.0	0.0	synthetic
défrisée	defRize	défriser	VER	VER	f	s	par:pas;	d_e|f_R_i|z_e	d_é|f_r_i|s_é_e	0.0	0.0	synthetic
défrisées	defRize	défriser	VER	VER	f	p	par:pas;	d_e|f_R_i|z_e	d_é|f_r_i|s_é_es	0.0	0.0	synthetic
défrisâtes	defRizat	défriser	VER	VER			ind:pas:2p;	d_e|f_R_i|z_a_t_#	d_é|f_r_i|s_â_t_es	0.0	0.0	synthetic
défrise	defRiz	défriser	VER	VER			sub:pre:1s;	d_e|f_R_i|z_#	d_é|f_r_i|s_e	0.0	0.0	synthetic
défrises	defRiz	défriser	VER	VER			sub:pre:2s;	d_e|f_R_i|z_#	d_é|f_r_i|s_es	0.0	0.0	synthetic
défrise	defRiz	défriser	VER	VER			sub:pre:3s;	d_e|f_R_i|z_#	d_é|f_r_i|s_e	0.0	0.0	synthetic
défrisasse	defRizas	défriser	VER	VER			sub:imp:1s;	d_e|f_R_i|z_a_s_#	d_é|f_r_i|s_a_ss_e	0.0	0.0	synthetic
défrisasses	defRizas	défriser	VER	VER			sub:imp:2s;	d_e|f_R_i|z_a_s_#	d_é|f_r_i|s_a_ss_es	0.0	0.0	synthetic
défrisassions	defRizasj§	défriser	VER	VER			sub:imp:1p;	d_e|f_R_i|z_a|s_j_§	d_é|f_r_i|s_a|ss_i_ons	0.0	0.0	synthetic
défrisassent	defRizas	défriser	VER	VER			sub:imp:3p;	d_e|f_R_i|z_a_s_#	d_é|f_r_i|s_a_ss_ent	0.0	0.0	synthetic
tractés	tRakte	tracter	VER	VER	m	p	par:pas;	t_R_a_k|t_e	t_r_a_c|t_é_s	0.0	0.0	synthetic
tractées	tRakte	tracter	VER	VER	f	p	par:pas;	t_R_a_k|t_e	t_r_a_c|t_é_es	0.0	0.0	synthetic
tractâtes	tRaktat	tracter	VER	VER			ind:pas:2p;	t_R_a_k|t_a_t_#	t_r_a_c|t_â_t_es	0.0	0.0	synthetic
tracte	tRakt	tracter	VER	VER			sub:pre:1s;	t_R_a_k|t_#	t_r_a_c|t_e	0.0	0.0	synthetic
tractes	tRakt	tracter	VER	VER			sub:pre:2s;	t_R_a_k|t_#	t_r_a_c|t_es	0.0	0.0	synthetic
tracte	tRakt	tracter	VER	VER			sub:pre:3s;	t_R_a_k|t_#	t_r_a_c|t_e	0.0	0.0	synthetic
tractasse	tRaktas	tracter	VER	VER			sub:imp:1s;	t_R_a_k|t_a_s_#	t_r_a_c|t_a_ss_e	0.0	0.0	synthetic
tractasses	tRaktas	tracter	VER	VER			sub:imp:2s;	t_R_a_k|t_a_s_#	t_r_a_c|t_a_ss_es	0.0	0.0	synthetic
tractassions	tRaktasj§	tracter	VER	VER			sub:imp:1p;	t_R_a_k|t_a|s_j_§	t_r_a_c|t_a|ss_i_ons	0.0	0.0	synthetic
tractassent	tRaktas	tracter	VER	VER			sub:imp:3p;	t_R_a_k|t_a_s_#	t_r_a_c|t_a_ss_ent	0.0	0.0	synthetic
pastillâtes	pastijat	pastiller	VER	VER			ind:pas:2p;	p_a_s|t_i|j_a_t_#	p_a_s|t_i|ll_â_t_es	0.0	0.0	synthetic
pastille	pastij	pastiller	VER	VER			sub:pre:1s;	p_a_s|t_i|j_#	p_a_s|t_i|ll_e	0.0	0.0	synthetic
pastilles	pastij	pastiller	VER	VER			sub:pre:2s;	p_a_s|t_i|j_#	p_a_s|t_i|ll_es	0.0	0.0	synthetic
pastille	pastij	pastiller	VER	VER			sub:pre:3s;	p_a_s|t_i|j_#	p_a_s|t_i|ll_e	0.0	0.0	synthetic
pastillasse	pastijas	pastiller	VER	VER			sub:imp:1s;	p_a_s|t_i|j_a_s_#	p_a_s|t_i|ll_a_ss_e	0.0	0.0	synthetic
pastillasses	pastijas	pastiller	VER	VER			sub:imp:2s;	p_a_s|t_i|j_a_s_#	p_a_s|t_i|ll_a_ss_es	0.0	0.0	synthetic
pastillassions	pastijasj§	pastiller	VER	VER			sub:imp:1p;	p_a_s|t_i|j_a|s_j_§	p_a_s|t_i|ll_a|ss_i_ons	0.0	0.0	synthetic
pastillassent	pastijas	pastiller	VER	VER			sub:imp:3p;	p_a_s|t_i|j_a_s_#	p_a_s|t_i|ll_a_ss_ent	0.0	0.0	synthetic
formulâtes	fORmylat	formuler	VER	VER			ind:pas:2p;	f_O_R|m_y|l_a_t_#	f_o_r|m_u|l_â_t_es	0.0	0.0	synthetic
formule	fORmyl	formuler	VER	VER			sub:pre:1s;	f_O_R|m_y|l_#	f_o_r|m_u|l_e	0.0	0.0	synthetic
formules	fORmyl	formuler	VER	VER			sub:pre:2s;	f_O_R|m_y|l_#	f_o_r|m_u|l_es	0.0	0.0	synthetic
formule	fORmyl	formuler	VER	VER			sub:pre:3s;	f_O_R|m_y|l_#	f_o_r|m_u|l_e	0.0	0.0	synthetic
formulasse	fORmylas	formuler	VER	VER			sub:imp:1s;	f_O_R|m_y|l_a_s_#	f_o_r|m_u|l_a_ss_e	0.0	0.0	synthetic
formulasses	fORmylas	formuler	VER	VER			sub:imp:2s;	f_O_R|m_y|l_a_s_#	f_o_r|m_u|l_a_ss_es	0.0	0.0	synthetic
formulassions	fORmylasj§	formuler	VER	VER			sub:imp:1p;	f_O_R|m_y|l_a|s_j_§	f_o_r|m_u|l_a|ss_i_ons	0.0	0.0	synthetic
formulassent	fORmylas	formuler	VER	VER			sub:imp:3p;	f_O_R|m_y|l_a_s_#	f_o_r|m_u|l_a_ss_ent	0.0	0.0	synthetic
détraquâtes	detRakat	détraquer	VER	VER			ind:pas:2p;	d_e|t_R_a|k_a_t_#	d_é|t_r_a|qu_â_t_es	0.0	0.0	synthetic
détraque	detRak	détraquer	VER	VER			sub:pre:1s;	d_e|t_R_a|k_#	d_é|t_r_a|qu_e	0.0	0.0	synthetic
détraques	detRak	détraquer	VER	VER			sub:pre:2s;	d_e|t_R_a|k_#	d_é|t_r_a|qu_es	0.0	0.0	synthetic
détraque	detRak	détraquer	VER	VER			sub:pre:3s;	d_e|t_R_a|k_#	d_é|t_r_a|qu_e	0.0	0.0	synthetic
détraquasse	detRakas	détraquer	VER	VER			sub:imp:1s;	d_e|t_R_a|k_a_s_#	d_é|t_r_a|qu_a_ss_e	0.0	0.0	synthetic
détraquasses	detRakas	détraquer	VER	VER			sub:imp:2s;	d_e|t_R_a|k_a_s_#	d_é|t_r_a|qu_a_ss_es	0.0	0.0	synthetic
détraquassions	detRakasj§	détraquer	VER	VER			sub:imp:1p;	d_e|t_R_a|k_a|s_j_§	d_é|t_r_a|qu_a|ss_i_ons	0.0	0.0	synthetic
détraquassent	detRakas	détraquer	VER	VER			sub:imp:3p;	d_e|t_R_a|k_a_s_#	d_é|t_r_a|qu_a_ss_ent	0.0	0.0	synthetic
clignée	kliNe	cligner	VER	VER	f	s	par:pas;	k_l_i|N_e	c_l_i|gn_é_e	0.0	0.0	synthetic
clignâtes	kliNat	cligner	VER	VER			ind:pas:2p;	k_l_i|N_a_t_#	c_l_i|gn_â_t_es	0.0	0.0	synthetic
cligne	kliN	cligner	VER	VER			sub:pre:1s;	k_l_i|N_#	c_l_i|gn_e	0.0	0.0	synthetic
clignes	kliN	cligner	VER	VER			sub:pre:2s;	k_l_i|N_#	c_l_i|gn_es	0.0	0.0	synthetic
cligne	kliN	cligner	VER	VER			sub:pre:3s;	k_l_i|N_#	c_l_i|gn_e	0.0	0.0	synthetic
clignasse	kliNas	cligner	VER	VER			sub:imp:1s;	k_l_i|N_a_s_#	c_l_i|gn_a_ss_e	0.0	0.0	synthetic
clignasses	kliNas	cligner	VER	VER			sub:imp:2s;	k_l_i|N_a_s_#	c_l_i|gn_a_ss_es	0.0	0.0	synthetic
clignassions	kliNasj§	cligner	VER	VER			sub:imp:1p;	k_l_i|N_a|s_j_§	c_l_i|gn_a|ss_i_ons	0.0	0.0	synthetic
clignassent	kliNas	cligner	VER	VER			sub:imp:3p;	k_l_i|N_a_s_#	c_l_i|gn_a_ss_ent	0.0	0.0	synthetic
désynchronisés	des5kRonize	désynchroniser	VER	VER	m	p	par:pas;	d_e|s_5|k_R_o|n_i|z_e	d_é|s_yn|ch_r_o|n_i|s_é_s	0.0	0.0	synthetic
désynchronisée	des5kRonize	désynchroniser	VER	VER	f	s	par:pas;	d_e|s_5|k_R_o|n_i|z_e	d_é|s_yn|ch_r_o|n_i|s_é_e	0.0	0.0	synthetic
désynchronisées	des5kRonize	désynchroniser	VER	VER	f	p	par:pas;	d_e|s_5|k_R_o|n_i|z_e	d_é|s_yn|ch_r_o|n_i|s_é_es	0.0	0.0	synthetic
aiguisâtes	egizat	aiguiser	VER	VER			ind:pas:2p;	e|g_i|z_a_t_#	ai|gu_i|s_â_t_es	0.0	0.0	synthetic
aiguise	egiz	aiguiser	VER	VER			sub:pre:1s;	e|g_i|z_#	ai|gu_i|s_e	0.0	0.0	synthetic
aiguises	egiz	aiguiser	VER	VER			sub:pre:2s;	e|g_i|z_#	ai|gu_i|s_es	0.0	0.0	synthetic
aiguise	egiz	aiguiser	VER	VER			sub:pre:3s;	e|g_i|z_#	ai|gu_i|s_e	0.0	0.0	synthetic
aiguisasse	egizas	aiguiser	VER	VER			sub:imp:1s;	e|g_i|z_a_s_#	ai|gu_i|s_a_ss_e	0.0	0.0	synthetic
aiguisasses	egizas	aiguiser	VER	VER			sub:imp:2s;	e|g_i|z_a_s_#	ai|gu_i|s_a_ss_es	0.0	0.0	synthetic
aiguisassions	egizasj§	aiguiser	VER	VER			sub:imp:1p;	e|g_i|z_a|s_j_§	ai|gu_i|s_a|ss_i_ons	0.0	0.0	synthetic
aiguisassent	egizas	aiguiser	VER	VER			sub:imp:3p;	e|g_i|z_a_s_#	ai|gu_i|s_a_ss_ent	0.0	0.0	synthetic
abouchées	abuSe	aboucher	VER	VER	f	p	par:pas;	a|b_u|S_e	a|b_ou|ch_é_es	0.0	0.0	synthetic
abouchâtes	abuSat	aboucher	VER	VER			ind:pas:2p;	a|b_u|S_a_t_#	a|b_ou|ch_â_t_es	0.0	0.0	synthetic
abouche	abuS	aboucher	VER	VER			sub:pre:1s;	a|b_u|S_#	a|b_ou|ch_e	0.0	0.0	synthetic
abouches	abuS	aboucher	VER	VER			sub:pre:2s;	a|b_u|S_#	a|b_ou|ch_es	0.0	0.0	synthetic
abouche	abuS	aboucher	VER	VER			sub:pre:3s;	a|b_u|S_#	a|b_ou|ch_e	0.0	0.0	synthetic
abouchasse	abuSas	aboucher	VER	VER			sub:imp:1s;	a|b_u|S_a_s_#	a|b_ou|ch_a_ss_e	0.0	0.0	synthetic
abouchasses	abuSas	aboucher	VER	VER			sub:imp:2s;	a|b_u|S_a_s_#	a|b_ou|ch_a_ss_es	0.0	0.0	synthetic
abouchassions	abuSasj§	aboucher	VER	VER			sub:imp:1p;	a|b_u|S_a|s_j_§	a|b_ou|ch_a|ss_i_ons	0.0	0.0	synthetic
abouchassent	abuSas	aboucher	VER	VER			sub:imp:3p;	a|b_u|S_a_s_#	a|b_ou|ch_a_ss_ent	0.0	0.0	synthetic
rembourrâtes	R@buRat	rembourrer	VER	VER			ind:pas:2p;	R_@|b_u|R_a_t_#	r_em|b_ou|rr_â_t_es	0.0	0.0	synthetic
rembourre	R@buR	rembourrer	VER	VER			sub:pre:1s;	R_@|b_u|R_#	r_em|b_ou|rr_e	0.0	0.0	synthetic
rembourres	R@buR	rembourrer	VER	VER			sub:pre:2s;	R_@|b_u|R_#	r_em|b_ou|rr_es	0.0	0.0	synthetic
rembourre	R@buR	rembourrer	VER	VER			sub:pre:3s;	R_@|b_u|R_#	r_em|b_ou|rr_e	0.0	0.0	synthetic
rembourrasse	R@buRas	rembourrer	VER	VER			sub:imp:1s;	R_@|b_u|R_a_s_#	r_em|b_ou|rr_a_ss_e	0.0	0.0	synthetic
rembourrasses	R@buRas	rembourrer	VER	VER			sub:imp:2s;	R_@|b_u|R_a_s_#	r_em|b_ou|rr_a_ss_es	0.0	0.0	synthetic
rembourrassions	R@buRasj§	rembourrer	VER	VER			sub:imp:1p;	R_@|b_u|R_a|s_j_§	r_em|b_ou|rr_a|ss_i_ons	0.0	0.0	synthetic
rembourrassent	R@buRas	rembourrer	VER	VER			sub:imp:3p;	R_@|b_u|R_a_s_#	r_em|b_ou|rr_a_ss_ent	0.0	0.0	synthetic
soumissionnâtes	sumisjonat	soumissionner	VER	VER			ind:pas:2p;	s_u|m_i|s_j_o|n_a_t_#	s_ou|m_i|ss_i_o|nn_â_t_es	0.0	0.0	synthetic
soumissionne	sumisjon	soumissionner	VER	VER			sub:pre:1s;	s_u|m_i|s_j_o|n_#	s_ou|m_i|ss_i_o|nn_e	0.0	0.0	synthetic
soumissionnes	sumisjon	soumissionner	VER	VER			sub:pre:2s;	s_u|m_i|s_j_o|n_#	s_ou|m_i|ss_i_o|nn_es	0.0	0.0	synthetic
soumissionne	sumisjon	soumissionner	VER	VER			sub:pre:3s;	s_u|m_i|s_j_o|n_#	s_ou|m_i|ss_i_o|nn_e	0.0	0.0	synthetic
soumissionnasse	sumisjonas	soumissionner	VER	VER			sub:imp:1s;	s_u|m_i|s_j_o|n_a_s_#	s_ou|m_i|ss_i_o|nn_a_ss_e	0.0	0.0	synthetic
soumissionnasses	sumisjonas	soumissionner	VER	VER			sub:imp:2s;	s_u|m_i|s_j_o|n_a_s_#	s_ou|m_i|ss_i_o|nn_a_ss_es	0.0	0.0	synthetic
soumissionnassions	sumisjonasj§	soumissionner	VER	VER			sub:imp:1p;	s_u|m_i|s_j_o|n_a|s_j_§	s_ou|m_i|ss_i_o|nn_a|ss_i_ons	0.0	0.0	synthetic
soumissionnassent	sumisjonas	soumissionner	VER	VER			sub:imp:3p;	s_u|m_i|s_j_o|n_a_s_#	s_ou|m_i|ss_i_o|nn_a_ss_ent	0.0	0.0	synthetic
délestâtes	delEstat	délester	VER	VER			ind:pas:2p;	d_e|l_E_s|t_a_t_#	d_é|l_e_s|t_â_t_es	0.0	0.0	synthetic
déleste	delEst	délester	VER	VER			sub:pre:1s;	d_e|l_E_s|t_#	d_é|l_e_s|t_e	0.0	0.0	synthetic
délestes	delEst	délester	VER	VER			sub:pre:2s;	d_e|l_E_s|t_#	d_é|l_e_s|t_es	0.0	0.0	synthetic
déleste	delEst	délester	VER	VER			sub:pre:3s;	d_e|l_E_s|t_#	d_é|l_e_s|t_e	0.0	0.0	synthetic
délestasse	delEstas	délester	VER	VER			sub:imp:1s;	d_e|l_E_s|t_a_s_#	d_é|l_e_s|t_a_ss_e	0.0	0.0	synthetic
délestasses	delEstas	délester	VER	VER			sub:imp:2s;	d_e|l_E_s|t_a_s_#	d_é|l_e_s|t_a_ss_es	0.0	0.0	synthetic
délestassions	delEstasj§	délester	VER	VER			sub:imp:1p;	d_e|l_E_s|t_a|s_j_§	d_é|l_e_s|t_a|ss_i_ons	0.0	0.0	synthetic
délestassent	delEstas	délester	VER	VER			sub:imp:3p;	d_e|l_E_s|t_a_s_#	d_é|l_e_s|t_a_ss_ent	0.0	0.0	synthetic
arabisés	aRabize	arabiser	VER	VER	m	p	par:pas;	a|R_a|b_i|z_e	a|r_a|b_i|s_é_s	0.0	0.0	synthetic
arabisée	aRabize	arabiser	VER	VER	f	s	par:pas;	a|R_a|b_i|z_e	a|r_a|b_i|s_é_e	0.0	0.0	synthetic
arabisées	aRabize	arabiser	VER	VER	f	p	par:pas;	a|R_a|b_i|z_e	a|r_a|b_i|s_é_es	0.0	0.0	synthetic
camées	kame	camer	VER	VER	f	p	par:pas;	k_a|m_e	c_a|m_é_es	0.0	0.0	synthetic
camâtes	kamat	camer	VER	VER			ind:pas:2p;	k_a|m_a_t_#	c_a|m_â_t_es	0.0	0.0	synthetic
came	kam	camer	VER	VER			sub:pre:1s;	k_a|m_#	c_a|m_e	0.0	0.0	synthetic
cames	kam	camer	VER	VER			sub:pre:2s;	k_a|m_#	c_a|m_es	0.0	0.0	synthetic
came	kam	camer	VER	VER			sub:pre:3s;	k_a|m_#	c_a|m_e	0.0	0.0	synthetic
camasse	kamas	camer	VER	VER			sub:imp:1s;	k_a|m_a_s_#	c_a|m_a_ss_e	0.0	0.0	synthetic
camasses	kamas	camer	VER	VER			sub:imp:2s;	k_a|m_a_s_#	c_a|m_a_ss_es	0.0	0.0	synthetic
camassions	kamasj§	camer	VER	VER			sub:imp:1p;	k_a|m_a|s_j_§	c_a|m_a|ss_i_ons	0.0	0.0	synthetic
camassent	kamas	camer	VER	VER			sub:imp:3p;	k_a|m_a_s_#	c_a|m_a_ss_ent	0.0	0.0	synthetic
charriâtes	SaRjat	charrier	VER	VER			ind:pas:2p;	S_a|R_j_a_t_#	ch_a|rr_i_â_t_es	0.0	0.0	synthetic
charrie	SaRj	charrier	VER	VER			sub:pre:1s;	S_a|R_j_#	ch_a|rr_i_e	0.0	0.0	synthetic
charrie	SaRj	charrier	VER	VER			sub:pre:3s;	S_a|R_j_#	ch_a|rr_i_e	0.0	0.0	synthetic
charriasse	SaRjas	charrier	VER	VER			sub:imp:1s;	S_a|R_j_a_s_#	ch_a|rr_i_a_ss_e	0.0	0.0	synthetic
charriasses	SaRjas	charrier	VER	VER			sub:imp:2s;	S_a|R_j_a_s_#	ch_a|rr_i_a_ss_es	0.0	0.0	synthetic
charriassions	SaRjasj§	charrier	VER	VER			sub:imp:1p;	S_a|R_j_a|s_j_§	ch_a|rr_i_a|ss_i_ons	0.0	0.0	synthetic
charriassent	SaRjas	charrier	VER	VER			sub:imp:3p;	S_a|R_j_a_s_#	ch_a|rr_i_a_ss_ent	0.0	0.0	synthetic
bagarrées	bagaRe	bagarrer	VER	VER	f	p	par:pas;	b_a|g_a|R_e	b_a|g_a|rr_é_es	0.0	0.0	synthetic
bagarrâtes	bagaRat	bagarrer	VER	VER			ind:pas:2p;	b_a|g_a|R_a_t_#	b_a|g_a|rr_â_t_es	0.0	0.0	synthetic
bagarre	bagaR	bagarrer	VER	VER			sub:pre:1s;	b_a|g_a|R_#	b_a|g_a|rr_e	0.0	0.0	synthetic
bagarres	bagaR	bagarrer	VER	VER			sub:pre:2s;	b_a|g_a|R_#	b_a|g_a|rr_es	0.0	0.0	synthetic
bagarre	bagaR	bagarrer	VER	VER			sub:pre:3s;	b_a|g_a|R_#	b_a|g_a|rr_e	0.0	0.0	synthetic
bagarrasse	bagaRas	bagarrer	VER	VER			sub:imp:1s;	b_a|g_a|R_a_s_#	b_a|g_a|rr_a_ss_e	0.0	0.0	synthetic
bagarrasses	bagaRas	bagarrer	VER	VER			sub:imp:2s;	b_a|g_a|R_a_s_#	b_a|g_a|rr_a_ss_es	0.0	0.0	synthetic
bagarrassions	bagaRasj§	bagarrer	VER	VER			sub:imp:1p;	b_a|g_a|R_a|s_j_§	b_a|g_a|rr_a|ss_i_ons	0.0	0.0	synthetic
bagarrassent	bagaRas	bagarrer	VER	VER			sub:imp:3p;	b_a|g_a|R_a_s_#	b_a|g_a|rr_a_ss_ent	0.0	0.0	synthetic
collaborés	kolaboRe	collaborer	VER	VER	m	p	par:pas;	k_o|l_a|b_o|R_e	c_o|ll_a|b_o|r_é_s	0.0	0.0	synthetic
collaborée	kolaboRe	collaborer	VER	VER	f	s	par:pas;	k_o|l_a|b_o|R_e	c_o|ll_a|b_o|r_é_e	0.0	0.0	synthetic
collaborées	kolaboRe	collaborer	VER	VER	f	p	par:pas;	k_o|l_a|b_o|R_e	c_o|ll_a|b_o|r_é_es	0.0	0.0	synthetic
collaborâtes	kolaboRat	collaborer	VER	VER			ind:pas:2p;	k_o|l_a|b_o|R_a_t_#	c_o|ll_a|b_o|r_â_t_es	0.0	0.0	synthetic
collabore	kolaboR	collaborer	VER	VER			sub:pre:1s;	k_o|l_a|b_o|R_#	c_o|ll_a|b_o|r_e	0.0	0.0	synthetic
collabores	kolaboR	collaborer	VER	VER			sub:pre:2s;	k_o|l_a|b_o|R_#	c_o|ll_a|b_o|r_es	0.0	0.0	synthetic
collabore	kolaboR	collaborer	VER	VER			sub:pre:3s;	k_o|l_a|b_o|R_#	c_o|ll_a|b_o|r_e	0.0	0.0	synthetic
collaborasse	kolaboRas	collaborer	VER	VER			sub:imp:1s;	k_o|l_a|b_o|R_a_s_#	c_o|ll_a|b_o|r_a_ss_e	0.0	0.0	synthetic
collaborasses	kolaboRas	collaborer	VER	VER			sub:imp:2s;	k_o|l_a|b_o|R_a_s_#	c_o|ll_a|b_o|r_a_ss_es	0.0	0.0	synthetic
collaborassions	kolaboRasj§	collaborer	VER	VER			sub:imp:1p;	k_o|l_a|b_o|R_a|s_j_§	c_o|ll_a|b_o|r_a|ss_i_ons	0.0	0.0	synthetic
collaborassent	kolaboRas	collaborer	VER	VER			sub:imp:3p;	k_o|l_a|b_o|R_a_s_#	c_o|ll_a|b_o|r_a_ss_ent	0.0	0.0	synthetic
voiturés	vwatyRe	voiturer	VER	VER	m	p	par:pas;	v_wa|t_y|R_e	v_oi|t_u|r_é_s	0.0	0.0	synthetic
voiturée	vwatyRe	voiturer	VER	VER	f	s	par:pas;	v_wa|t_y|R_e	v_oi|t_u|r_é_e	0.0	0.0	synthetic
voiturées	vwatyRe	voiturer	VER	VER	f	p	par:pas;	v_wa|t_y|R_e	v_oi|t_u|r_é_es	0.0	0.0	synthetic
voiturâtes	vwatyRat	voiturer	VER	VER			ind:pas:2p;	v_wa|t_y|R_a_t_#	v_oi|t_u|r_â_t_es	0.0	0.0	synthetic
voiture	vwatyR	voiturer	VER	VER			sub:pre:1s;	v_wa|t_y|R_#	v_oi|t_u|r_e	0.0	0.0	synthetic
voiture	vwatyR	voiturer	VER	VER			sub:pre:3s;	v_wa|t_y|R_#	v_oi|t_u|r_e	0.0	0.0	synthetic
voiturasse	vwatyRas	voiturer	VER	VER			sub:imp:1s;	v_wa|t_y|R_a_s_#	v_oi|t_u|r_a_ss_e	0.0	0.0	synthetic
voiturasses	vwatyRas	voiturer	VER	VER			sub:imp:2s;	v_wa|t_y|R_a_s_#	v_oi|t_u|r_a_ss_es	0.0	0.0	synthetic
voiturassions	vwatyRasj§	voiturer	VER	VER			sub:imp:1p;	v_wa|t_y|R_a|s_j_§	v_oi|t_u|r_a|ss_i_ons	0.0	0.0	synthetic
voiturassent	vwatyRas	voiturer	VER	VER			sub:imp:3p;	v_wa|t_y|R_a_s_#	v_oi|t_u|r_a_ss_ent	0.0	0.0	synthetic
ovulâtes	ovylat	ovuler	VER	VER			ind:pas:2p;	o|v_y|l_a_t_#	o|v_u|l_â_t_es	0.0	0.0	synthetic
ovule	ovyl	ovuler	VER	VER			sub:pre:1s;	o|v_y|l_#	o|v_u|l_e	0.0	0.0	synthetic
ovules	ovyl	ovuler	VER	VER			sub:pre:2s;	o|v_y|l_#	o|v_u|l_es	0.0	0.0	synthetic
ovule	ovyl	ovuler	VER	VER			sub:pre:3s;	o|v_y|l_#	o|v_u|l_e	0.0	0.0	synthetic
ovulasse	ovylas	ovuler	VER	VER			sub:imp:1s;	o|v_y|l_a_s_#	o|v_u|l_a_ss_e	0.0	0.0	synthetic
ovulasses	ovylas	ovuler	VER	VER			sub:imp:2s;	o|v_y|l_a_s_#	o|v_u|l_a_ss_es	0.0	0.0	synthetic
ovulassions	ovylasj§	ovuler	VER	VER			sub:imp:1p;	o|v_y|l_a|s_j_§	o|v_u|l_a|ss_i_ons	0.0	0.0	synthetic
ovulassent	ovylas	ovuler	VER	VER			sub:imp:3p;	o|v_y|l_a_s_#	o|v_u|l_a_ss_ent	0.0	0.0	synthetic
bâtonné	batone	bâtonner	VER	VER	m	s	par:pas;	b_a|t_o|n_e	b_â|t_o|nn_é	0.0	0.0	synthetic
bâtonnés	batone	bâtonner	VER	VER	m	p	par:pas;	b_a|t_o|n_e	b_â|t_o|nn_é_s	0.0	0.0	synthetic
bâtonnées	batone	bâtonner	VER	VER	f	p	par:pas;	b_a|t_o|n_e	b_â|t_o|nn_é_es	0.0	0.0	synthetic
bâtonnâtes	batonat	bâtonner	VER	VER			ind:pas:2p;	b_a|t_o|n_a_t_#	b_â|t_o|nn_â_t_es	0.0	0.0	synthetic
bâtonne	baton	bâtonner	VER	VER			sub:pre:1s;	b_a|t_o|n_#	b_â|t_o|nn_e	0.0	0.0	synthetic
bâtonnes	baton	bâtonner	VER	VER			sub:pre:2s;	b_a|t_o|n_#	b_â|t_o|nn_es	0.0	0.0	synthetic
bâtonne	baton	bâtonner	VER	VER			sub:pre:3s;	b_a|t_o|n_#	b_â|t_o|nn_e	0.0	0.0	synthetic
bâtonnasse	batonas	bâtonner	VER	VER			sub:imp:1s;	b_a|t_o|n_a_s_#	b_â|t_o|nn_a_ss_e	0.0	0.0	synthetic
bâtonnasses	batonas	bâtonner	VER	VER			sub:imp:2s;	b_a|t_o|n_a_s_#	b_â|t_o|nn_a_ss_es	0.0	0.0	synthetic
bâtonnassions	batonasj§	bâtonner	VER	VER			sub:imp:1p;	b_a|t_o|n_a|s_j_§	b_â|t_o|nn_a|ss_i_ons	0.0	0.0	synthetic
bâtonnassent	batonas	bâtonner	VER	VER			sub:imp:3p;	b_a|t_o|n_a_s_#	b_â|t_o|nn_a_ss_ent	0.0	0.0	synthetic
bouchardâtes	buSaRdat	boucharder	VER	VER			ind:pas:2p;	b_u|S_a_R|d_a_t_#	b_ou|ch_a_r|d_â_t_es	0.0	0.0	synthetic
boucharde	buSaRd	boucharder	VER	VER			sub:pre:1s;	b_u|S_a_R|d_#	b_ou|ch_a_r|d_e	0.0	0.0	synthetic
bouchardes	buSaRd	boucharder	VER	VER			sub:pre:2s;	b_u|S_a_R|d_#	b_ou|ch_a_r|d_es	0.0	0.0	synthetic
boucharde	buSaRd	boucharder	VER	VER			sub:pre:3s;	b_u|S_a_R|d_#	b_ou|ch_a_r|d_e	0.0	0.0	synthetic
bouchardasse	buSaRdas	boucharder	VER	VER			sub:imp:1s;	b_u|S_a_R|d_a_s_#	b_ou|ch_a_r|d_a_ss_e	0.0	0.0	synthetic
bouchardasses	buSaRdas	boucharder	VER	VER			sub:imp:2s;	b_u|S_a_R|d_a_s_#	b_ou|ch_a_r|d_a_ss_es	0.0	0.0	synthetic
bouchardassions	buSaRdasj§	boucharder	VER	VER			sub:imp:1p;	b_u|S_a_R|d_a|s_j_§	b_ou|ch_a_r|d_a|ss_i_ons	0.0	0.0	synthetic
