item	phono	cgram	grapheme	assoc	regTo_GP
conclurons	k§klyR§	VER	c.on.c.l.u.r.ons	c-k.on-§.c-k.l-l.u-y.r-R.ons-§	1.1.0.1.1.1.1.
concluront	k§klyR§	VER	c.on.c.l.u.r.ont	c-k.on-§.c-k.l-l.u-y.r-R.ont-§	1.1.0.1.1.1.1.
conclus	k§kly	VER	c.on.c.l.us	c-k.on-§.c-k.l-l.us-y	1.1.0.1.1.
conclusion	k§klyzj§	NOM	c.on.c.l.u.s.i.on	c-k.on-§.c-k.l-l.u-y.s-z.i-j.on-§	1.1.0.1.1.0.0.1.
conclusions	k§klyzj§	NOM	c.on.c.l.u.s.i.on.s	c-k.on-§.c-k.l-l.u-y.s-z.i-j.on-§.s-#	1.1.0.1.1.0.0.1.1.
conclusive	k§klyziv	ADJ	c.on.c.l.u.s.i.v.e	c-k.on-§.c-k.l-l.u-y.s-z.i-i.v-v.e-#	1.1.0.1.1.0.1.1.1.
conclut	k§kly	VER	c.on.c.l.ut	c-k.on-§.c-k.l-l.ut-y	1.1.0.1.1.
conclûmes	k§klym	VER	c.on.c.l.û.m.es	c-k.on-§.c-k.l-l.û-y.m-m.es-#	1.1.0.1.1.1.1.
conclût	k§kly	VER	c.on.c.l.ût	c-k.on-§.c-k.l-l.ût-y	1.1.0.1.1.
concocta	k§kOkta	VER	c.on.c.o.c.t.a	c-k.on-§.c-k.o-O.c-k.t-t.a-a	1.1.0.1.0.1.1.
concoctait	k§kOktE	VER	c.on.c.o.c.t.ait	c-k.on-§.c-k.o-O.c-k.t-t.ait-E	1.1.0.1.0.1.1.
concoctent	k§kOkt	VER	c.on.c.o.c.t.ent	c-k.on-§.c-k.o-O.c-k.t-t.ent-#	1.1.0.1.0.1.0.
concocter	k§kOkte	VER	c.on.c.o.c.t.er	c-k.on-§.c-k.o-O.c-k.t-t.er-e	1.1.0.1.0.1.1.
concocteras	k§kOkt°Ra	VER	c.on.c.o.c.t.e.r.as	c-k.on-§.c-k.o-O.c-k.t-t.e-°.r-R.as-a	1.1.0.1.0.1.0.1.1.
concoction	k§kOksj§	NOM	c.on.c.o.c.t.i.on	c-k.on-§.c-k.o-O.c-k.t-s.i-j.on-§	1.1.0.1.0.0.0.1.
concocté	k§kOkte	VER	c.on.c.o.c.t.é	c-k.on-§.c-k.o-O.c-k.t-t.é-e	1.1.0.1.0.1.1.
concoctée	k§kOkte	VER	c.on.c.o.c.t.é.e	c-k.on-§.c-k.o-O.c-k.t-t.é-e.e-#	1.1.0.1.0.1.1.1.
concoctés	k§kOkte	VER	c.on.c.o.c.t.é.s	c-k.on-§.c-k.o-O.c-k.t-t.é-e.s-#	1.1.0.1.0.1.1.1.
concombre	k§k§bR	NOM	c.on.c.om.b.r.e	c-k.on-§.c-k.om-§.b-b.r-R.e-#	1.1.0.1.1.1.1.
concombres	k§k§bR	NOM	c.on.c.om.b.r.es	c-k.on-§.c-k.om-§.b-b.r-R.es-#	1.1.0.1.1.1.1.
concomitance	k§komit@s	NOM	c.on.c.o.m.i.t.an.c.e	c-k.on-§.c-k.o-o.m-m.i-i.t-t.an-@.c-s.e-#	1.1.0.0.1.1.1.1.1.1.
concomitant	k§komit@	ADJ	c.on.c.o.m.i.t.ant	c-k.on-§.c-k.o-o.m-m.i-i.t-t.ant-@	1.1.0.0.1.1.1.1.
concomitante	k§komit@t	ADJ	c.on.c.o.m.i.t.an.t.e	c-k.on-§.c-k.o-o.m-m.i-i.t-t.an-@.t-t.e-#	1.1.0.0.1.1.1.1.1.1.
concomitantes	k§komit@t	ADJ	c.on.c.o.m.i.t.an.t.es	c-k.on-§.c-k.o-o.m-m.i-i.t-t.an-@.t-t.es-#	1.1.0.0.1.1.1.1.1.1.
concordaient	k§kORdE	VER	c.on.c.o.r.d.aient	c-k.on-§.c-k.o-O.r-R.d-d.aient-E	1.1.0.1.1.1.1.
concordait	k§kORdE	VER	c.on.c.o.r.d.ait	c-k.on-§.c-k.o-O.r-R.d-d.ait-E	1.1.0.1.1.1.1.
concordance	k§kORd@s	NOM	c.on.c.o.r.d.an.c.e	c-k.on-§.c-k.o-O.r-R.d-d.an-@.c-s.e-#	1.1.0.1.1.1.1.1.1.
concordant	k§kORd@	ADJ	c.on.c.o.r.d.ant	c-k.on-§.c-k.o-O.r-R.d-d.ant-@	1.1.0.1.1.1.1.
concordant	k§kORd@	VER	c.on.c.o.r.d.ant	c-k.on-§.c-k.o-O.r-R.d-d.ant-@	1.1.0.1.1.1.1.
concordante	k§kORd@t	ADJ	c.on.c.o.r.d.an.t.e	c-k.on-§.c-k.o-O.r-R.d-d.an-@.t-t.e-#	1.1.0.1.1.1.1.1.1.
concordantes	k§kORd@t	ADJ	c.on.c.o.r.d.an.t.es	c-k.on-§.c-k.o-O.r-R.d-d.an-@.t-t.es-#	1.1.0.1.1.1.1.1.1.
concordants	k§kORd@	ADJ	c.on.c.o.r.d.an.ts	c-k.on-§.c-k.o-O.r-R.d-d.an-@.ts-#	1.1.0.1.1.1.1.1.
concordat	k§kORda	NOM	c.on.c.o.r.d.a.t	c-k.on-§.c-k.o-O.r-R.d-d.a-a.t-#	1.1.0.1.1.1.1.1.
concorde	k§kORd	NOM	c.on.c.o.r.d.e	c-k.on-§.c-k.o-O.r-R.d-d.e-#	1.1.0.1.1.1.1.
concorde	k§kORd	VER	c.on.c.o.r.d.e	c-k.on-§.c-k.o-O.r-R.d-d.e-#	1.1.0.1.1.1.1.
concordent	k§kORd	VER	c.on.c.o.r.d.ent	c-k.on-§.c-k.o-O.r-R.d-d.ent-#	1.1.0.1.1.1.0.
concorder	k§kORde	VER	c.on.c.o.r.d.er	c-k.on-§.c-k.o-O.r-R.d-d.er-e	1.1.0.1.1.1.1.
concordez	k§kORde	VER	c.on.c.o.r.d.ez	c-k.on-§.c-k.o-O.r-R.d-d.ez-e	1.1.0.1.1.1.1.
concordistes	k§kORdist	NOM	c.on.c.o.r.d.i.s.t.es	c-k.on-§.c-k.o-O.r-R.d-d.i-i.s-s.t-t.es-#	1.1.0.1.1.1.1.0.1.1.
concouraient	k§kuRE	VER	c.on.c.ou.r.aient	c-k.on-§.c-k.ou-u.r-R.aient-E	1.1.0.1.1.1.
concourait	k§kuRE	VER	c.on.c.ou.r.ait	c-k.on-§.c-k.ou-u.r-R.ait-E	1.1.0.1.1.1.
concourant	k§kuR@	ADJ	c.on.c.ou.r.ant	c-k.on-§.c-k.ou-u.r-R.ant-@	1.1.0.1.1.1.
concourant	k§kuR@	VER	c.on.c.ou.r.ant	c-k.on-§.c-k.ou-u.r-R.ant-@	1.1.0.1.1.1.
concoure	k§kuR	VER	c.on.c.ou.r.e	c-k.on-§.c-k.ou-u.r-R.e-#	1.1.0.1.1.1.
concourent	k§kuR	VER	c.on.c.ou.r.ent	c-k.on-§.c-k.ou-u.r-R.ent-#	1.1.0.1.1.0.
concourez	k§kuRe	VER	c.on.c.ou.r.ez	c-k.on-§.c-k.ou-u.r-R.ez-e	1.1.0.1.1.1.
concourir	k§kuRiR	VER	c.on.c.ou.r.i.r	c-k.on-§.c-k.ou-u.r-R.i-i.r-R	1.1.0.1.1.1.1.
concourrai	k§kuRe	VER	c.on.c.ou.rr.ai	c-k.on-§.c-k.ou-u.rr-R.ai-e	1.1.0.1.1.1.
concourrait	k§kuRE	VER	c.on.c.ou.rr.ait	c-k.on-§.c-k.ou-u.rr-R.ait-E	1.1.0.1.1.1.
concourront	k§kuR§	VER	c.on.c.ou.rr.ont	c-k.on-§.c-k.ou-u.rr-R.ont-§	1.1.0.1.1.1.
concours	k§kuR	VER	c.on.c.ou.r.s	c-k.on-§.c-k.ou-u.r-R.s-#	1.1.0.1.1.1.
concours	k§kuR	NOM	c.on.c.ou.r.s	c-k.on-§.c-k.ou-u.r-R.s-#	1.1.0.1.1.1.
concourt	k§kuR	VER	c.on.c.ou.r.t	c-k.on-§.c-k.ou-u.r-R.t-#	1.1.0.1.1.1.
concouru	k§kuRy	VER	c.on.c.ou.r.u	c-k.on-§.c-k.ou-u.r-R.u-y	1.1.0.1.1.1.
concourût	k§kuRy	VER	c.on.c.ou.r.ût	c-k.on-§.c-k.ou-u.r-R.ût-y	1.1.0.1.1.1.
concret	k§kRE	ADJ	c.on.c.r.et	c-k.on-§.c-k.r-R.et-E	1.1.0.1.0.
concret	k§kRE	NOM	c.on.c.r.et	c-k.on-§.c-k.r-R.et-E	1.1.0.1.0.
concrets	k§kRE	ADJ	c.on.c.r.e.ts	c-k.on-§.c-k.r-R.e-E.ts-#	1.1.0.1.1.1.
concrets	k§kRE	NOM	c.on.c.r.e.ts	c-k.on-§.c-k.r-R.e-E.ts-#	1.1.0.1.1.1.
concrète	k§kREt	ADJ	c.on.c.r.è.t.e	c-k.on-§.c-k.r-R.è-E.t-t.e-#	1.1.0.1.1.1.1.
concrète	k§kREt	VER	c.on.c.r.è.t.e	c-k.on-§.c-k.r-R.è-E.t-t.e-#	1.1.0.1.1.1.1.
concrètement	k§kREt°m@	ADV	c.on.c.r.è.t.e.m.ent	c-k.on-§.c-k.r-R.è-E.t-t.e-°.m-m.ent-@	1.1.0.1.1.1.0.1.1.
concrètes	k§kREt	ADJ	c.on.c.r.è.t.es	c-k.on-§.c-k.r-R.è-E.t-t.es-#	1.1.0.1.1.1.1.
concrétion	k§kResj§	NOM	c.on.c.r.é.t.i.on	c-k.on-§.c-k.r-R.é-e.t-s.i-j.on-§	1.1.0.1.1.0.0.1.
concrétions	k§kResj§	NOM	c.on.c.r.é.t.i.on.s	c-k.on-§.c-k.r-R.é-e.t-s.i-j.on-§.s-#	1.1.0.1.1.0.0.1.1.
concrétisant	k§kRetiz@	VER	c.on.c.r.é.t.i.s.ant	c-k.on-§.c-k.r-R.é-e.t-t.i-i.s-z.ant-@	1.1.0.1.1.1.1.0.1.
concrétisation	k§kRetizasj§	NOM	c.on.c.r.é.t.i.s.a.t.i.on	c-k.on-§.c-k.r-R.é-e.t-t.i-i.s-z.a-a.t-s.i-j.on-§	1.1.0.1.1.1.1.0.1.0.0.1.
concrétise	k§kRetiz	VER	c.on.c.r.é.t.i.s.e	c-k.on-§.c-k.r-R.é-e.t-t.i-i.s-z.e-#	1.1.0.1.1.1.1.0.1.
concrétisent	k§kRetiz	VER	c.on.c.r.é.t.i.s.ent	c-k.on-§.c-k.r-R.é-e.t-t.i-i.s-z.ent-#	1.1.0.1.1.1.1.0.0.
concrétiser	k§kRetize	VER	c.on.c.r.é.t.i.s.er	c-k.on-§.c-k.r-R.é-e.t-t.i-i.s-z.er-e	1.1.0.1.1.1.1.0.1.
concrétisèrent	k§kRetizER	VER	c.on.c.r.é.t.i.s.è.r.ent	c-k.on-§.c-k.r-R.é-e.t-t.i-i.s-z.è-E.r-R.ent-#	1.1.0.1.1.1.1.0.1.1.0.
concrétisé	k§kRetize	VER	c.on.c.r.é.t.i.s.é	c-k.on-§.c-k.r-R.é-e.t-t.i-i.s-z.é-e	1.1.0.1.1.1.1.0.1.
concrétisée	k§kRetize	VER	c.on.c.r.é.t.i.s.é.e	c-k.on-§.c-k.r-R.é-e.t-t.i-i.s-z.é-e.e-#	1.1.0.1.1.1.1.0.1.1.
concrétisées	k§kRetize	VER	c.on.c.r.é.t.i.s.é.es	c-k.on-§.c-k.r-R.é-e.t-t.i-i.s-z.é-e.es-#	1.1.0.1.1.1.1.0.1.1.
concrétisés	k§kRetize	VER	c.on.c.r.é.t.i.s.é.s	c-k.on-§.c-k.r-R.é-e.t-t.i-i.s-z.é-e.s-#	1.1.0.1.1.1.1.0.1.1.
concubin	k§kyb5	NOM	c.on.c.u.b.in	c-k.on-§.c-k.u-y.b-b.in-5	1.1.0.1.1.1.
concubinage	k§kybinaZ	NOM	c.on.c.u.b.i.n.a.ge	c-k.on-§.c-k.u-y.b-b.i-i.n-n.a-a.ge-Z	1.1.0.1.1.1.1.1.1.
concubinages	k§kybinaZ	NOM	c.on.c.u.b.i.n.a.g.es	c-k.on-§.c-k.u-y.b-b.i-i.n-n.a-a.g-Z.es-#	1.1.0.1.1.1.1.1.1.1.
concubinait	k§kybinE	VER	c.on.c.u.b.i.n.ait	c-k.on-§.c-k.u-y.b-b.i-i.n-n.ait-E	1.1.0.1.1.1.1.1.
concubine	k§kybin	NOM	c.on.c.u.b.i.n.e	c-k.on-§.c-k.u-y.b-b.i-i.n-n.e-#	1.1.0.1.1.1.1.1.
concubines	k§kybin	NOM	c.on.c.u.b.i.n.es	c-k.on-§.c-k.u-y.b-b.i-i.n-n.es-#	1.1.0.1.1.1.1.1.
concubins	k§kyb5	NOM	c.on.c.u.b.in.s	c-k.on-§.c-k.u-y.b-b.in-5.s-#	1.1.0.1.1.1.1.
concupiscence	k§kypis@s	NOM	c.on.c.u.p.i.sc.en.c.e	c-k.on-§.c-k.u-y.p-p.i-i.sc-s.en-@.c-s.e-#	1.1.0.1.1.1.1.1.1.1.
concupiscences	k§kypis@s	NOM	c.on.c.u.p.i.sc.en.c.es	c-k.on-§.c-k.u-y.p-p.i-i.sc-s.en-@.c-s.es-#	1.1.0.1.1.1.1.1.1.1.
concupiscent	k§kypis@	ADJ	c.on.c.u.p.i.sc.ent	c-k.on-§.c-k.u-y.p-p.i-i.sc-s.ent-@	1.1.0.1.1.1.1.1.
concupiscente	k§kypis@t	ADJ	c.on.c.u.p.i.sc.en.t.e	c-k.on-§.c-k.u-y.p-p.i-i.sc-s.en-@.t-t.e-#	1.1.0.1.1.1.1.1.1.1.
concupiscentes	k§kypis@t	ADJ	c.on.c.u.p.i.sc.en.t.es	c-k.on-§.c-k.u-y.p-p.i-i.sc-s.en-@.t-t.es-#	1.1.0.1.1.1.1.1.1.1.
concupiscents	k§kypis@	ADJ	c.on.c.u.p.i.sc.en.ts	c-k.on-§.c-k.u-y.p-p.i-i.sc-s.en-@.ts-#	1.1.0.1.1.1.1.1.1.
concurremment	k§kyRam@	ADV	c.on.c.u.rr.e.mm.ent	c-k.on-§.c-k.u-y.rr-R.e-a.mm-m.ent-@	1.1.0.1.1.0.1.1.
concurrence	k§kyR@s	NOM	c.on.c.u.rr.en.c.e	c-k.on-§.c-k.u-y.rr-R.en-@.c-s.e-#	1.1.0.1.1.1.1.1.
concurrence	k§kyR@s	VER	c.on.c.u.rr.en.c.e	c-k.on-§.c-k.u-y.rr-R.en-@.c-s.e-#	1.1.0.1.1.1.1.1.
concurrencer	k§kyR@se	VER	c.on.c.u.rr.en.c.er	c-k.on-§.c-k.u-y.rr-R.en-@.c-s.er-e	1.1.0.1.1.1.1.1.
concurrences	k§kyR@s	NOM	c.on.c.u.rr.en.c.es	c-k.on-§.c-k.u-y.rr-R.en-@.c-s.es-#	1.1.0.1.1.1.1.1.
concurrencé	k§kyR@se	VER	c.on.c.u.rr.en.c.é	c-k.on-§.c-k.u-y.rr-R.en-@.c-s.é-e	1.1.0.1.1.1.1.1.
concurrencée	k§kyR@se	VER	c.on.c.u.rr.en.c.é.e	c-k.on-§.c-k.u-y.rr-R.en-@.c-s.é-e.e-#	1.1.0.1.1.1.1.1.1.
concurrent	k§kyR@	ADJ	c.on.c.u.rr.ent	c-k.on-§.c-k.u-y.rr-R.ent-@	1.1.0.1.1.1.
concurrent	k§kyR@	NOM	c.on.c.u.rr.ent	c-k.on-§.c-k.u-y.rr-R.ent-@	1.1.0.1.1.1.
concurrente	k§kyR@t	ADJ	c.on.c.u.rr.en.t.e	c-k.on-§.c-k.u-y.rr-R.en-@.t-t.e-#	1.1.0.1.1.1.1.1.
concurrentes	k§kyR@t	ADJ	c.on.c.u.rr.en.t.es	c-k.on-§.c-k.u-y.rr-R.en-@.t-t.es-#	1.1.0.1.1.1.1.1.
concurrentiel	k§kyR@sjEl	ADJ	c.on.c.u.rr.en.t.i.e.l	c-k.on-§.c-k.u-y.rr-R.en-@.t-s.i-j.e-E.l-l	1.1.0.1.1.1.0.0.1.1.
concurrentielle	k§kyR@sjEl	ADJ	c.on.c.u.rr.en.t.i.e.ll.e	c-k.on-§.c-k.u-y.rr-R.en-@.t-s.i-j.e-E.ll-l.e-#	1.1.0.1.1.1.0.0.1.1.1.
concurrentiels	k§kyR@sjEl	ADJ	c.on.c.u.rr.en.t.i.e.l.s	c-k.on-§.c-k.u-y.rr-R.en-@.t-s.i-j.e-E.l-l.s-#	1.1.0.1.1.1.0.0.1.1.1.
concurrents	k§kyR@	ADJ	c.on.c.u.rr.en.ts	c-k.on-§.c-k.u-y.rr-R.en-@.ts-#	1.1.0.1.1.1.1.
concurrents	k§kyR@	NOM	c.on.c.u.rr.en.ts	c-k.on-§.c-k.u-y.rr-R.en-@.ts-#	1.1.0.1.1.1.1.
concurrençait	k§kyR@sE	VER	c.on.c.u.rr.en.ç.ait	c-k.on-§.c-k.u-y.rr-R.en-@.ç-s.ait-E	1.1.0.1.1.1.1.1.
concussion	k§kysj§	NOM	c.on.c.u.ss.i.on	c-k.on-§.c-k.u-y.ss-s.i-j.on-§	1.1.0.1.1.0.1.
concussionnaire	k§kysjonER	ADJ	c.on.c.u.ss.i.o.nn.ai.r.e	c-k.on-§.c-k.u-y.ss-s.i-j.o-o.nn-n.ai-E.r-R.e-#	1.1.0.1.1.0.0.1.1.1.1.
concède	k§sEd	VER	c.on.c.è.d.e	c-k.on-§.c-s.è-E.d-d.e-#	1.1.1.1.1.1.
concèdes	k§sEd	VER	c.on.c.è.d.es	c-k.on-§.c-s.è-E.d-d.es-#	1.1.1.1.1.1.
concéda	k§seda	VER	c.on.c.é.d.a	c-k.on-§.c-s.é-e.d-d.a-a	1.1.1.1.1.1.
concédai	k§sede	VER	c.on.c.é.d.ai	c-k.on-§.c-s.é-e.d-d.ai-e	1.1.1.1.1.1.
concédaient	k§sedE	VER	c.on.c.é.d.aient	c-k.on-§.c-s.é-e.d-d.aient-E	1.1.1.1.1.1.
concédais	k§sedE	VER	c.on.c.é.d.ais	c-k.on-§.c-s.é-e.d-d.ais-E	1.1.1.1.1.1.
concédait	k§sedE	VER	c.on.c.é.d.ait	c-k.on-§.c-s.é-e.d-d.ait-E	1.1.1.1.1.1.
concédant	k§sed@	NOM	c.on.c.é.d.ant	c-k.on-§.c-s.é-e.d-d.ant-@	1.1.1.1.1.1.
concéder	k§sede	VER	c.on.c.é.d.er	c-k.on-§.c-s.é-e.d-d.er-e	1.1.1.1.1.1.
concéderait	k§sed°RE	VER	c.on.c.é.d.e.r.ait	c-k.on-§.c-s.é-e.d-d.e-°.r-R.ait-E	1.1.1.1.1.0.1.1.
concédez	k§sede	VER	c.on.c.é.d.ez	c-k.on-§.c-s.é-e.d-d.ez-e	1.1.1.1.1.1.
concédons	k§sed§	VER	c.on.c.é.d.ons	c-k.on-§.c-s.é-e.d-d.ons-§	1.1.1.1.1.1.
concédât	k§seda	VER	c.on.c.é.d.ât	c-k.on-§.c-s.é-e.d-d.ât-a	1.1.1.1.1.1.
concédé	k§sede	VER	c.on.c.é.d.é	c-k.on-§.c-s.é-e.d-d.é-e	1.1.1.1.1.1.
concédée	k§sede	VER	c.on.c.é.d.é.e	c-k.on-§.c-s.é-e.d-d.é-e.e-#	1.1.1.1.1.1.1.
concédés	k§sede	VER	c.on.c.é.d.é.s	c-k.on-§.c-s.é-e.d-d.é-e.s-#	1.1.1.1.1.1.1.
concélèbrent	k§selEbR	VER	c.on.c.é.l.è.b.r.ent	c-k.on-§.c-s.é-e.l-l.è-E.b-b.r-R.ent-#	1.1.1.1.1.1.1.1.0.
condamna	k§dana	VER	c.on.d.a.m.n.a	c-k.on-§.d-d.a-a.m-#.n-n.a-a	1.1.1.1.0.1.1.
condamnable	k§danabl	ADJ	c.on.d.a.m.n.a.b.l.e	c-k.on-§.d-d.a-a.m-#.n-n.a-a.b-b.l-l.e-#	1.1.1.1.0.1.1.1.1.1.
condamnables	k§danabl	ADJ	c.on.d.a.m.n.a.b.l.es	c-k.on-§.d-d.a-a.m-#.n-n.a-a.b-b.l-l.es-#	1.1.1.1.0.1.1.1.1.1.
condamnai	k§dane	VER	c.on.d.a.m.n.ai	c-k.on-§.d-d.a-a.m-#.n-n.ai-e	1.1.1.1.0.1.1.
condamnaient	k§danE	VER	c.on.d.a.m.n.aient	c-k.on-§.d-d.a-a.m-#.n-n.aient-E	1.1.1.1.0.1.1.
condamnais	k§danE	VER	c.on.d.a.m.n.ais	c-k.on-§.d-d.a-a.m-#.n-n.ais-E	1.1.1.1.0.1.1.
condamnait	k§danE	VER	c.on.d.a.m.n.ait	c-k.on-§.d-d.a-a.m-#.n-n.ait-E	1.1.1.1.0.1.1.
condamnant	k§dan@	VER	c.on.d.a.m.n.ant	c-k.on-§.d-d.a-a.m-#.n-n.ant-@	1.1.1.1.0.1.1.
condamnation	k§danasj§	NOM	c.on.d.a.m.n.a.t.i.on	c-k.on-§.d-d.a-a.m-#.n-n.a-a.t-s.i-j.on-§	1.1.1.1.0.1.1.0.0.1.
condamnations	k§danasj§	NOM	c.on.d.a.m.n.a.t.i.on.s	c-k.on-§.d-d.a-a.m-#.n-n.a-a.t-s.i-j.on-§.s-#	1.1.1.1.0.1.1.0.0.1.1.
condamne	k§dan	VER	c.on.d.a.m.n.e	c-k.on-§.d-d.a-a.m-#.n-n.e-#	1.1.1.1.0.1.1.
condamnent	k§dan	VER	c.on.d.a.m.n.ent	c-k.on-§.d-d.a-a.m-#.n-n.ent-#	1.1.1.1.0.1.0.
condamner	k§dane	VER	c.on.d.a.m.n.er	c-k.on-§.d-d.a-a.m-#.n-n.er-e	1.1.1.1.0.1.1.
condamnera	k§dan°Ra	VER	c.on.d.a.m.n.e.r.a	c-k.on-§.d-d.a-a.m-#.n-n.e-°.r-R.a-a	1.1.1.1.0.1.0.1.1.
condamnerai	k§dan°Re	VER	c.on.d.a.m.n.e.r.ai	c-k.on-§.d-d.a-a.m-#.n-n.e-°.r-R.ai-e	1.1.1.1.0.1.0.1.1.
condamneraient	k§dan°RE	VER	c.on.d.a.m.n.e.r.aient	c-k.on-§.d-d.a-a.m-#.n-n.e-°.r-R.aient-E	1.1.1.1.0.1.0.1.1.
condamnerais	k§dan°RE	VER	c.on.d.a.m.n.e.r.ais	c-k.on-§.d-d.a-a.m-#.n-n.e-°.r-R.ais-E	1.1.1.1.0.1.0.1.1.
condamnerait	k§dan°RE	VER	c.on.d.a.m.n.e.r.ait	c-k.on-§.d-d.a-a.m-#.n-n.e-°.r-R.ait-E	1.1.1.1.0.1.0.1.1.
condamneras	k§dan°Ra	VER	c.on.d.a.m.n.e.r.as	c-k.on-§.d-d.a-a.m-#.n-n.e-°.r-R.as-a	1.1.1.1.0.1.0.1.1.
condamnerons	k§dan°R§	VER	c.on.d.a.m.n.e.r.ons	c-k.on-§.d-d.a-a.m-#.n-n.e-°.r-R.ons-§	1.1.1.1.0.1.0.1.1.
condamneront	k§dan°R§	VER	c.on.d.a.m.n.e.r.ont	c-k.on-§.d-d.a-a.m-#.n-n.e-°.r-R.ont-§	1.1.1.1.0.1.0.1.1.
condamnes	k§dan	VER	c.on.d.a.m.n.es	c-k.on-§.d-d.a-a.m-#.n-n.es-#	1.1.1.1.0.1.1.
condamnez	k§dane	VER	c.on.d.a.m.n.ez	c-k.on-§.d-d.a-a.m-#.n-n.ez-e	1.1.1.1.0.1.1.
condamniez	k§danje	VER	c.on.d.a.m.n.i.ez	c-k.on-§.d-d.a-a.m-#.n-n.i-j.ez-e	1.1.1.1.0.1.0.1.
condamnions	k§danj§	VER	c.on.d.a.m.n.i.ons	c-k.on-§.d-d.a-a.m-#.n-n.i-j.ons-§	1.1.1.1.0.1.0.1.
condamnons	k§dan§	VER	c.on.d.a.m.n.ons	c-k.on-§.d-d.a-a.m-#.n-n.ons-§	1.1.1.1.0.1.1.
condamnât	k§dana	VER	c.on.d.a.m.n.ât	c-k.on-§.d-d.a-a.m-#.n-n.ât-a	1.1.1.1.0.1.1.
condamnèrent	k§danER	VER	c.on.d.a.m.n.è.r.ent	c-k.on-§.d-d.a-a.m-#.n-n.è-E.r-R.ent-#	1.1.1.1.0.1.1.1.0.
condamné	k§dane	VER	c.on.d.a.m.n.é	c-k.on-§.d-d.a-a.m-#.n-n.é-e	1.1.1.1.0.1.1.
condamné	k§dane	ADJ	c.on.d.a.m.n.é	c-k.on-§.d-d.a-a.m-#.n-n.é-e	1.1.1.1.0.1.1.
condamné	k§dane	NOM	c.on.d.a.m.n.é	c-k.on-§.d-d.a-a.m-#.n-n.é-e	1.1.1.1.0.1.1.
condamnée	k§dane	VER	c.on.d.a.m.n.é.e	c-k.on-§.d-d.a-a.m-#.n-n.é-e.e-#	1.1.1.1.0.1.1.1.
condamnée	k§dane	ADJ	c.on.d.a.m.n.é.e	c-k.on-§.d-d.a-a.m-#.n-n.é-e.e-#	1.1.1.1.0.1.1.1.
condamnée	k§dane	NOM	c.on.d.a.m.n.é.e	c-k.on-§.d-d.a-a.m-#.n-n.é-e.e-#	1.1.1.1.0.1.1.1.
condamnées	k§dane	VER	c.on.d.a.m.n.é.es	c-k.on-§.d-d.a-a.m-#.n-n.é-e.es-#	1.1.1.1.0.1.1.1.
condamnées	k§dane	ADJ	c.on.d.a.m.n.é.es	c-k.on-§.d-d.a-a.m-#.n-n.é-e.es-#	1.1.1.1.0.1.1.1.
condamnées	k§dane	NOM	c.on.d.a.m.n.é.es	c-k.on-§.d-d.a-a.m-#.n-n.é-e.es-#	1.1.1.1.0.1.1.1.
condamnés	k§dane	VER	c.on.d.a.m.n.é.s	c-k.on-§.d-d.a-a.m-#.n-n.é-e.s-#	1.1.1.1.0.1.1.1.
condamnés	k§dane	ADJ	c.on.d.a.m.n.é.s	c-k.on-§.d-d.a-a.m-#.n-n.é-e.s-#	1.1.1.1.0.1.1.1.
condamnés	k§dane	NOM	c.on.d.a.m.n.é.s	c-k.on-§.d-d.a-a.m-#.n-n.é-e.s-#	1.1.1.1.0.1.1.1.
condensa	k§d@sa	VER	c.on.d.en.s.a	c-k.on-§.d-d.en-@.s-s.a-a	1.1.1.1.0.1.
condensaient	k§d@sE	VER	c.on.d.en.s.aient	c-k.on-§.d-d.en-@.s-s.aient-E	1.1.1.1.0.1.
condensait	k§d@sE	VER	c.on.d.en.s.ait	c-k.on-§.d-d.en-@.s-s.ait-E	1.1.1.1.0.1.
condensant	k§d@s@	VER	c.on.d.en.s.ant	c-k.on-§.d-d.en-@.s-s.ant-@	1.1.1.1.0.1.
condensateur	k§d@sat9R	NOM	c.on.d.en.s.a.t.eu.r	c-k.on-§.d-d.en-@.s-s.a-a.t-t.eu-9.r-R	1.1.1.1.0.1.1.0.1.
condensateurs	k§d@sat9R	NOM	c.on.d.en.s.a.t.eu.r.s	c-k.on-§.d-d.en-@.s-s.a-a.t-t.eu-9.r-R.s-#	1.1.1.1.0.1.1.0.1.1.
condensation	k§d@sasj§	NOM	c.on.d.en.s.a.t.i.on	c-k.on-§.d-d.en-@.s-s.a-a.t-s.i-j.on-§	1.1.1.1.0.1.0.0.1.
condense	k§d@s	VER	c.on.d.en.s.e	c-k.on-§.d-d.en-@.s-s.e-#	1.1.1.1.0.1.
condensent	k§d@s	VER	c.on.d.en.s.ent	c-k.on-§.d-d.en-@.s-s.ent-#	1.1.1.1.0.0.
condenser	k§d@se	VER	c.on.d.en.s.er	c-k.on-§.d-d.en-@.s-s.er-e	1.1.1.1.0.1.
condensera	k§d@s°Ra	VER	c.on.d.en.s.e.r.a	c-k.on-§.d-d.en-@.s-s.e-°.r-R.a-a	1.1.1.1.0.0.1.1.
condenseur	k§d@s9R	NOM	c.on.d.en.s.eu.r	c-k.on-§.d-d.en-@.s-s.eu-9.r-R	1.1.1.1.0.0.1.
condensèrent	k§d@sER	VER	c.on.d.en.s.è.r.ent	c-k.on-§.d-d.en-@.s-s.è-E.r-R.ent-#	1.1.1.1.0.1.1.0.
